"rule_id","condition","template_type","template_ref"
"1","age<18","age_based","child"
"2","age>=60","age_based","elderly"
"3","gender=='F'","gender_based","F"
"4","gender=='M'","gender_based","M"
"5","sms_received==1 and no_show=='yes'","sms_based","yes"
"6","sms_received==1 and no_show!='yes'","sms_based","no"
"7","diabetes==1","patient_notes","diabetes"
"8","hypertension==1","patient_notes","hypertension"
"9","alcoholism==1","patient_notes","alcohol"
"10","handcap>0","patient_notes","handicap"
"11","scholarship==1","patient_notes","scholarship"
"12","age>65","patient_notes","elderly"
"13","age<12","patient_notes","child"
"14","age<18 and age>=12","patient_notes","adolescent"
"15","gender=='F' and age>18","patient_notes","women"
"16","gender=='M' and age>18","patient_notes","men"
"17","no_show=='yes' and diabetes==1","no_show_reason","diabetes"
"18","no_show=='yes' and hypertension==1","no_show_reason","hypertension"
"19","no_show=='yes' and alcoholism==1","no_show_reason","alcohol"
"20","no_show=='yes' and handcap>0","no_show_reason","handicap"
"21","no_show=='yes' and sms_received==1","no_show_reason","yes"
"22","no_show=='yes' and age<18","no_show_reason","child"
"23","no_show=='yes' and age>=60","no_show_reason","elderly"
"24","no_show=='yes' and gender=='F'","no_show_reason","F"
"25","no_show=='yes' and gender=='M'","no_show_reason","M"
"26","no_show=='yes'","no_show_reason",""
"27","no_show!='yes'","positive_attendance_reason",""
